"接口","作用","实际起什么作用/对接Backend或者前端干了什么"
"POST /api/kiro/accounts","手动创建/导入 Kiro 账号","校验 Bearer sk-xxx；用 refresh_token(+IdC client_id/secret) 刷新并验证 token，抓取 usage limits 后落库 kiro_accounts；前端通过后端 /api/kiro/accounts 调用"
"GET /api/kiro/accounts","获取 Kiro 账号列表","校验 Bearer sk-xxx；查询 kiro_accounts（脱敏）；前端通过后端 /api/kiro/accounts 调用"
"GET /api/kiro/accounts/{account_id}","获取单个 Kiro 账号","校验 Bearer sk-xxx；权限：本人/管理员；返回脱敏信息；前端通过后端 /api/kiro/accounts/{accountId} 调用"
"GET /api/kiro/accounts/{account_id}/credentials","导出 Kiro 凭证（敏感）","校验 Bearer sk-xxx；返回 refresh/access_token、machineid、profile_arn、client_secret 等，用于前端“复制凭证 JSON”；经后端 /api/kiro/accounts/{accountId}/credentials 转发"
"PUT /api/kiro/accounts/{account_id}/status","启用/禁用 Kiro 账号","校验 Bearer sk-xxx；更新 kiro_accounts.status；前端通过后端 /api/kiro/accounts/{accountId}/status 调用"
"PUT /api/kiro/accounts/{account_id}/name","修改 Kiro 账号名称","校验 Bearer sk-xxx；更新 kiro_accounts.account_name；前端通过后端 /api/kiro/accounts/{accountId}/name 调用"
"GET /api/kiro/accounts/{account_id}/balance","刷新余额/使用量","校验 Bearer sk-xxx；必要时先 refresh token，再调用 usage limits 更新 current_usage/reset_date/bonus/free_trial 并计算可用额度；前端通过后端 /api/kiro/accounts/{accountId}/balance 调用"
"DELETE /api/kiro/accounts/{account_id}","删除 Kiro 账号","校验 Bearer sk-xxx；删除 kiro_accounts；前端通过后端 /api/kiro/accounts/{accountId} (DELETE) 调用"
"GET /api/kiro/accounts/{account_id}/consumption","获取 Kiro 消费记录","校验 Bearer sk-xxx；从 kiro_consumption_logs 拉用户消费并按账号过滤，可按日期筛；前端通过后端 /api/kiro/accounts/{accountId}/consumption 调用"
"GET /api/kiro/consumption/stats","获取用户总消费统计","校验 Bearer sk-xxx；聚合当前用户所有 Kiro 账号的消费统计；前端通过后端 /api/kiro/consumption/stats 调用"
"GET /api/kiro/admin/subscription-models","获取订阅层可用模型配置（管理员）","需要管理员 Bearer；查询订阅层->模型白名单规则（用于限制不同 subscription 可用模型）；前端通过后端 /api/kiro/admin/subscription-models（需管理员）调用"
"PUT /api/kiro/admin/subscription-models","设置订阅层可用模型配置（管理员）","需要管理员 Bearer；upsert 订阅层->模型白名单（model_ids=null 表示删除回默认）；前端通过后端 /api/kiro/admin/subscription-models（需管理员）调用"
"GET /v1/kiro/models","Kiro OpenAI 兼容模型列表","校验 Bearer sk-xxx；返回 Kiro 可用模型；AntiHub-Backend 的 KiroService.get_models 会代理它（用于后端 /v1/models 或 Kiro 专用入口）"
"POST /v1/kiro/chat/completions","Kiro OpenAI 兼容聊天补全","校验 Bearer sk-xxx；Kiro 专用 chat.completions，支持 tools/tool_calls + conversationState；AntiHub-Backend 的 KiroService.chat_completions(_stream) 会代理它作为上游"
"POST /api/qwen/oauth/authorize","生成 Qwen Device Flow 登录链接","校验 Bearer sk-xxx；发起 Qwen Device Flow，写 Redis state，并后台轮询换 token 后落库 qwen_accounts；前端通过后端 /api/qwen/oauth/authorize 调用（Redis 不可用会 503）"
"GET /api/qwen/oauth/status/{state}","轮询 Qwen OAuth 状态","无需插件 API key；从 Redis 取 state 状态返回 pending/completed/failed（不返回敏感 token）；前端通过后端 /api/qwen/oauth/status/{state} 轮询"
"POST /api/qwen/accounts/import","导入 QwenCli JSON","校验 Bearer sk-xxx；解析 credential_json/credential，抽取 access_token/refresh_token/resource_url/expires_at 等并落库 qwen_accounts；前端通过后端 /api/qwen/accounts/import 调用"
"GET /api/qwen/accounts","获取 Qwen 账号列表","校验 Bearer sk-xxx；查询 qwen_accounts（脱敏）；前端通过后端 /api/qwen/accounts 调用"
"GET /api/qwen/accounts/{account_id}","获取单个 Qwen 账号","校验 Bearer sk-xxx；权限：本人/管理员；返回脱敏信息；前端通过后端 /api/qwen/accounts/{accountId} 调用"
"GET /api/qwen/accounts/{account_id}/credentials","导出 Qwen 凭证（敏感）","校验 Bearer sk-xxx；返回 access_token/refresh_token/resource_url/expires_at 等，用于前端“复制凭证 JSON”；经后端 /api/qwen/accounts/{accountId}/credentials 转发"
"PUT /api/qwen/accounts/{account_id}/status","启用/禁用 Qwen 账号","校验 Bearer sk-xxx；更新 qwen_accounts.status；前端通过后端 /api/qwen/accounts/{accountId}/status 调用"
"PUT /api/qwen/accounts/{account_id}/name","修改 Qwen 账号名称","校验 Bearer sk-xxx；更新 qwen_accounts.account_name；前端通过后端 /api/qwen/accounts/{accountId}/name 调用"
"DELETE /api/qwen/accounts/{account_id}","删除 Qwen 账号","校验 Bearer sk-xxx；删除 qwen_accounts；前端通过后端 /api/qwen/accounts/{accountId} (DELETE) 调用"
"GET /api/qwen/admin/accounts","管理员查看全部 Qwen 账号","需要管理员 Bearer；列出所有可用 Qwen 账号用于排障；后端未默认暴露"
